Age,Skin Type,Skin Concerns,Treatment,AM Cleanser,AM Toner/Astringent,AM Masks/Exfoliator,AM Serum,AM Moisturizer,AM Eye Treatment,PM Cleanser,PM Toner/Astringent,PM Masks/Exfoliator,PM Serum,PM Moisturizer,PM Eye Treatment
47,Oily,Sun damage,Chemical peel,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
25,Oily,Acne,Salicylic acid treatment,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
30,Dry,Fine lines,Retinol treatment,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
28,Combination,Rosacea,Azelaic acid treatment,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
35,Mature,Age spots,BOTOX,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
26,Oily,Acne,Brightening facial,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
33,Normal,Hyperpigmentation,Vitamin C facial,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
29,Dry,Fine lines,Hydrating facial,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
37,Combination,Rosacea,Radiance facial,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
45,Mature,Age spots,Chemical peel,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
27,Oily,Acne,BOTOX,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
34,Normal,Hyperpigmentation,Brightening facial,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
31,Dry,Fine lines,Hydrating facial,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
38,Combination,Rosacea,Radiance facial,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
46,Mature,Age spots,Chemical peel,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
27,Oily,Acne,BOTOX,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
34,Normal,Hyperpigmentation,Brightening facial,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
31,Dry,Fine lines,Hydrating facial,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
39,Combination,Rosacea,Radiance facial,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
47,Mature,Age spots,Chemical peel,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
27,Combination,Acne,Salicylic acid treatment,Foaming cleanser,Witch hazel toner,BHA exfoliating mask,Niacinamide serum,Gel moisturizer,None,Micellar water,AHA toner,None,Hyaluronic acid serum,Lightweight cream,None
32,Oily,Dark spots,Chemical peel,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Vitamin C serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Vitamin C serum,Oil-free moisturizer,None
26,Dry,Fine lines,HydraFacial,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
36,Mature,Sun protection,BOTOX,Gentle cleanser,Alcohol-free toner,None,SPF 50 sunscreen,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,SPF 50 sunscreen,Hydrating moisturizer,Anti-aging eye cream
28,Normal,Hyperpigmentation,Anti aging facial,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
31,Combination,Rosacea,Chemical peel,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
33,Oily,Acne,Brightening facial,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
30,Dry,Fine lines,Dermabrasion,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
27,Combination,Rosacea,Chemical peel,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
35,Dry,Age spots,BOTOX,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
29,Oily,Acne,Brightening facial,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
34,Combination,Hyperpigmentation,Brightening facial,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
31,Dry,Fine lines,Hydrating facial,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
39,Combination,Rosacea,Radiance facial,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Alcohol-free toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
47,Oily,Sun damage,Chemical peel,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
25,Oily,Acne,BHA treatment,Foaming cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
30,Combination,Dark spots,Chemical peel,Gel cleanser,Alpha arbutin toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gel cleanser,Alpha arbutin toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
28,Dry,Fine lines,HydraFacial,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
35,Normal,Sun protection,BOTOX,Gentle cleanser,Alcohol-free toner,None,SPF 50 sunscreen,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,SPF 50 sunscreen,Hydrating moisturizer,Anti-aging eye cream
26,Combination,Hyperpigmentation,Anti aging facial,Gentle cleanser,Niacinamide toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gentle cleanser,Niacinamide toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
33,Oily,Rosacea,Chemical peel,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
31,Dry,Acne,Brightening facial,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
29,Combination,Fine lines,Dermabrasion,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
27,Oily,Rosacea,Chemical peel,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
36,Dry,Age spots and sun damage,Chemical peel,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
29,Oily,Acne,Brightening facial,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
34,Combination,Hyperpigmentation,Brightening facial,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
31,Dry,Fine lines,Hydrating facial,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
38,Combination,Rosacea,Radiance facial,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
46,Oily,Sun damage,Chemical peel,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
27,Normal,Acne,BOTOX,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
34,Oily,Hyperpigmentation,Brightening facial,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
31,Dry,Fine lines,Hydrating facial,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
39,Combination,Rosacea,Radiance facial,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
47,Dry,Sun damage,Chemical peel,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
27,Combination,Acne,Salicylic acid treatment,Foaming cleanser,Witch hazel toner,BHA exfoliating mask,Niacinamide serum,Gel moisturizer,None,Micellar water,AHA toner,None,Hyaluronic acid serum,Lightweight cream,None
32,Oily,Dark spots,Chemical peel,Gel cleanser,Alpha arbutin toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gel cleanser,Alpha arbutin toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
26,Dry,Fine lines,HydraFacial,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
36,Mature,Sun protection,BOTOX,Gentle cleanser,Alcohol-free toner,None,SPF 50 sunscreen,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,SPF 50 sunscreen,Hydrating moisturizer,Anti-aging eye cream
28,Normal,Hyperpigmentation,Anti aging facial,Gentle cleanser,Niacinamide toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gentle cleanser,Niacinamide toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
31,Combination,Rosacea,Chemical peel,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
33,Oily,Acne,Brightening facial,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
30,Dry,Fine lines,Dermabrasion,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
27,Combination,Rosacea,Chemical peel,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
35,Dry,Age spots,BOTOX,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
29,Oily,Acne,Brightening facial,Gel cleanser,Salicylic acid toner,Glycolic acid exfoliator,Niacinamide serum,Oil-free moisturizer,None,Gel cleanser,Salicylic acid toner,None,Niacinamide serum,Oil-free moisturizer,None
34,Combination,Hyperpigmentation,Brightening facial,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream,Gentle cleanser,Alcohol-free toner,None,Vitamin C serum,Hydrating moisturizer,Brightening eye cream
31,Dry,Fine lines,Hydrating facial,Cream cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Retinol serum,Hydrating moisturizer,Anti-aging eye cream
39,Combination,Rosacea,Radiance facial,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream,Gentle cleanser,Calming toner,None,Azelaic acid serum,Hydrating moisturizer,Calming eye cream
47,Oily,Sun damage,Chemical peel,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream,Gentle cleanser,Alcohol-free toner,None,Hydroquinone cream,Hydrating moisturizer,Anti-aging eye cream
